fips,total_workers,outdoor_workers,percentage
18097,2970078,263313,0.08865524743794607
18099,91347,3450,0.03776807120102466
18101,39267,1272,0.03239361295744518
18103,44388,3667,0.08261241777056862
18105,319917,17745,0.0554675118858954
18107,75049,2472,0.032938480192940614
18109,77105,8570,0.11114713702094546
18111,16123,837,0.05191341561744092
18113,87502,3400,0.03885625471417796
18115,5784,104,0.017980636237897647
18117,36149,4288,0.11862015546764779
18119,25468,1104,0.0433485157845139
18121,16045,914,0.056964786537862265
18123,31421,2032,0.0646701250755864
18125,13466,820,0.06089410366849844
18127,299638,24899,0.0830969369706112
18129,43422,3417,0.07869282852010502
